epoch,accuracy,loss,val_accuracy,val_loss
0,0.37115970253944397,1.3247861862182617,0.4265129566192627,1.2853329181671143
1,0.6689731478691101,0.9757043123245239,0.6426513195037842,0.9425198435783386
2,0.793523371219635,0.5828481912612915,0.6858789920806885,0.7864006161689758
3,0.844173789024353,0.41903039813041687,0.6974063515663147,0.8081241846084595
4,0.8818156719207764,0.33763083815574646,0.6858789920806885,0.8510861992835999
5,0.9003598093986511,0.2788948714733124,0.6743515729904175,0.870638370513916
6,0.9230556488037109,0.2313721626996994,0.6541786789894104,0.9244279861450195
7,0.9382784366607666,0.19274944067001343,0.6685879230499268,0.9538694620132446
8,0.9487960338592529,0.16463635861873627,0.6829971075057983,1.0349904298782349
9,0.9582064747810364,0.14125819504261017,0.6743515729904175,1.1069236993789673
10,0.9651259183883667,0.12814083695411682,0.6743515729904175,1.1169869899749756
11,0.9684472680091858,0.11369863897562027,0.6685879230499268,1.237012505531311
12,0.9684472680091858,0.11004742234945297,0.651296854019165,1.2640514373779297
13,0.9695543646812439,0.09848041087388992,0.6599423885345459,1.314903736114502
14,0.971491813659668,0.0928124189376831,0.6628242135047913,1.3297531604766846
15,0.9753667116165161,0.08663245290517807,0.6685879230499268,1.3664120435714722
16,0.9753667116165161,0.07809237390756607,0.651296854019165,1.3746761083602905
17,0.9745364189147949,0.07968559116125107,0.6628242135047913,1.411004900932312
18,0.9745364189147949,0.07749293744564056,0.6714697480201721,1.441932201385498
19,0.9773041605949402,0.0740671306848526,0.651296854019165,1.4651615619659424
20,0.9761970639228821,0.07073967158794403,0.639769434928894,1.4743067026138306
21,0.9759202599525452,0.06968560814857483,0.651296854019165,1.5468155145645142
22,0.9781345129013062,0.06517671793699265,0.6282420754432678,1.5542618036270142
23,0.977027416229248,0.06642992794513702,0.6657060384750366,1.5629760026931763
24,0.9781345129013062,0.05890221893787384,0.6282420754432678,1.6151137351989746
